Model,R² (val),MAE (val),RMSE (val)
GradientBoosting,0.9532758641028077,0.9667176219561595,1.1852689041437956
RandomForest,0.9525533808177966,0.9713919984393043,1.1943975051790572
Ridge,0.9500605353195265,0.9961429601868975,1.2253726784596675
ElasticNet,0.9500242432149115,0.9960739323219172,1.225817850199902
